CIC,ACNA,Entity,Assgnmt Dt,Contact,Phone,Street,City,State,Zip
5208,SHQ,"Shentel Converged Services of West Virginia, Inc.",4/23/2009,Bill Bauserman,540-984-5223,500 Shentel Way,Edinburg,VA,22824
5209,XMT,Southern Montana Tel. Co. dba SMTC Long Distance,01/23/2004,Bob Helming,406-689-3333,"P.O. Box 205, 205 Hwy. 43","Wisdom,",MT,59761
5210,BCJ,"Bandwidth.com CLEC, LLC",7/26/2007,Tim Orr,919-825-1933,"900 Main Campus Dr., Suite 500",Raleigh,NC,27606
5211,TVH,"3 Rivers Telephone Cooperative, Inc.",06/30/1997,David Massey,406-467-4402,202 5th Street South,"Fairfield,",MT,59436
5215,OWV,Town of Pineville,04/04/2003,Tammy J. Vachon,704-889-2001,118 College St.,"Pineville,",NC,28134
5216,SWW,Shawnee Telephone Company,01/24/2000,James M. Grisham,618-276-4211,"P.O. Box 69, 120 West Lane St.","Equality,",IL,62934
5217,DSS,"DataVision Communications, Inc.",12/15/2014,Renee M. Willer,503-792-5500,489 Third Street,"Gervais,",OR,97026
5218,HAM,Topsham Telephone Company,09/04/1998,"Donald A. Ceresoli, Jr.",315-324-5911,26 S. Main Street,Hammon,NY,13646
5219,GOF,Global Telecom For Business LLC,4/30/2010,Patrick Hafner,312-532-1019,"869 N. LaSalle, Suite 300",Chicago,IL,60610
5220,RCD,"Reach Direct, Inc.",02/27/1998,Ike Morton,---,"14900 Landmark Blvd., Suite 620","Dallas,",TX,75240
5223,TPD,OneStar Long Distance,12/20/1996,Jamie Rutherford,---,---,---,---,---
5224,HDY,"Hardy Telecommunications, Inc.",12/15/2009,Tracey Ratliff,304-897-9911,2255 Kimseys Run Rd.,"Lost River,",WV,26810
5225,CJZ,Citizens Telephone Cooperative ,10/06/1995,Danny G. Vaughn,540-745-9545,220 Webbs Mill Road N.,"Floyd,",VA,24091
5226,---,TELUS Communications (B.C.) Inc.,12/07/1995,Olena Bilozerska,416-279-8521,1600-200 Consilium Pl.,"Scarborough, Ontario",CANADA,M1H 3J3
5227,TAJ,"TCAST Communications, Inc.",07/12/1996,Ed Smart,661-253-5030,"25115 Avenue Stanford, Buite B210","Valencia,",CA,91355
5228,ASJ,"Atlas Communications & Telephone C.D., Inc.",08/29/1995,---,---,---,---,---,---
5229,MWQ,"Emery Telcom Long Distance, Inc.",07/12/1996,Brock Johansen,435-748-2223,455 East Hwy. 29,"Orangeville,",UT,84537
5230,UHC,"US LEC of North Carolina, L.L.C.",11/07/1996,Bea McKoy,704-319-1351,"401 North Tryon Street, Suite 1000","Charlotte,",NC,28202
5231,UHC,"US LEC of North Carolina, L.L.C.",09/26/1997,Bea McKoy,704-319-1351,"401 North Tryon Street, Suite 1000","Charlotte,",NC,28202
5232,VLR,"Cavalier Telephone, LLC",06/18/1997,Nichole M. Trimble,804-422-4959,2134 W. Laburnum Ave.,Richmond,VA,23227
5233,SBT,Southwestern Bell Telephone,07/20/1995,Daryl McDonald,214-464-3074,"311 S. Akard, Room 1500","Dallas,",TX,75202
5234,CXB,"CCI PR RSA, Inc.",06/12/1996,Alfonso Malabag,787-397-1000,"Metro Office Park No. 6, Cellular One Bldg., 2nd Floor","Guaynabo,",Puerto Rico,00969
5235,OSC,One Stop Communications,06/27/1996,---,---,---,---,---,---
5236,---,Roxborough Telephone Company Limited,09/30/2001,Tim Beach,613-538-7074,"P.O. Box 190, 25 Labrosse Street","Ottawa, Ontario",CANADA,K1P 5Y7
5237,AYG,"Alliance Group Services, Inc.",03/30/1998,Mary O'Keeffe,203-221-8700,"1221 Post Rd. East, #301",Westport,CT,06880
5238,VGV,"Velocity The Greatest Phone Company Ever, Inc.",03/18/1998,Gregory Kiley,419-705-3625,7130 Spring Meadows West Drive,Holland,OH,43528
5239,FWN,"Lumos Networks, Inc.",02/19/1998,Mark M. Ritter,540-946-7240,One Lumos Plaza,"Waynesboro,",VA,22980
5240,BED,Bell Canada,07/26/1999,Laurie Bowie,519-850-5818,"100 Dundas Street, Floor 3","London, Ontario",CANADA,N6A 5B6
5241,NSE,"Northeast Telecom, Inc. dba Northeast Long Distance",08/31/1999,Becky Darsey,318-874-7011,"6402 Howell Ave., P.O. Box 219","Collinston,",LA,71229
5243,LTP,"Lightship Telecom, L.L.C.",12/16/1998,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
5244,FAH,Amherst Telephone Company,3/6/2016,Carl Bohman / Rick Letto,715-824-5529,120 Mill St.,Amherst,WI,54406
5245,FAH,Amherst Telephone Company,4/20/2005,Carl Bohman / Rick Letto,715-824-5529,120 Mill St.,Amherst,WI,54406
5247,WYZ,"Swayzee Telephone Company, Inc.",4/20/2011,Audra Hicks,765-922-7916,214 S. Washington St.,Swayzee,IN,46986
5248,AXI,American International Telephone,02/18/1997,---,---,---,---,---,---
5250,CFZ,"Crystal Communications, Inc. dba Consolidated Communications",03/12/1997,Greg Hasse,507-387-1793,221 E. Hickory St.,"Mankato,",MN,56001
5252,TYD,Tri-County Long Distance,08/11/1995,Robert Mouser,870-429-5211,9444 Hwy. 65 So.,Harrison,AR,72601
5256,BWF,"Bd. of Water, Light & Sinking Fund Comms. dba Dalton Utilities",05/13/2003,Hank Blackwood,706-529-1031,1200 V.D. Parrott Jr. Parkway,"Dalton,",GA,30720
5258,RWK,"Craw-Kan Communication Systems, Inc.",12/24/1997,Craig Wilbert,620-724-8235,"200 N. Ozard, P.O. Box 100","Girard,",KS,66743
5259,FMH,Farmers Mutual Telephone Co.,10/15/1996,Debra K. Ward,641-749-2531,608 East Congress,"Nora Springs,",IA,50458
5260,CFH,Citizens Mutual Telephone Company,10/21/1996,Joe Snyder,641-664-2074,114 W. Jefferson St.,"Bloomfield,",IA,52537
5261,WCH,Webster-Calhoun Long Distance,10/18/2007,Marcie Boerner,515-352-3151,1106 Beek St.,"Gowrie,",IA,50543
5263,LCH,"CLT Communications, Inc.?",11/05/2001,Mark Anderson,715-263-2755,316 Third Avenue,"Clear Lake,",WI,54005
5265,BGM,"BridgeCom International, Inc.",06/26/2003,JoAnn Wight,610-755-4397,1019 W. Ninth Ave.,King of Prussia,PA,19406
5266,OWV,Town of Pineville,04/04/2003,Tammy J. Vachon,704-889-2001,118 College St.,"Pineville,",NC,28134
5267,LMT,Climax Telephone Company,10/04/1996,Scott Gerdeman,269-746-3250,13800 East Michigan Ave.,Galesburg,MI,49053
5269,CJI,"CoxCom, Inc.",08/29/1997,Sandra D. Cook,404-269-5157,6305 Peachtree Dunwoody Rd.,"Atlanta,",GA,30328
5270,BYO,"Bayland Telephone, LLC",09/28/1998,Jim Paulos,920-617-7085,470 Security Blvd.,Green Bay,WI,54101-0200
5271,EMR,ENMR Telephone Cooperative,1/21/2009,Launa B. Waller,575-389-4211,7111 N. Prince St.,Clovis,NM,88101
5272,LMT,Climax Telephone Company,10/15/1997,Scott Gerdeman,269-746-4411,13800 East Michigan Ave.,Galesburg,MI,49053
5274,SYW,"Cornerstone Telephone Co., LLC",9/19/2005,Jason Rogers,518-328-0397,"2 Third St., Suite 303",Troy,NY,12180
5275,PKF,Wavecom Solutions Corporation,9/18/2007,Robert Mapes,808-546-3092,1177 Bishop St.,"Honolulu,",HI,96813
5276,SUU,Supra Telecommunications & Information Systems,10/22/1997,---,---,---,---,---,---
5278,ROQ,"Arrowhead Electric Cooperative, Inc.",1/31/2013,Jenny Kartes,218-663-7239,5401 MN-61,Lutsen,MN,55612
5279,SZW,Southwest Minnesota Broadband Services,8/18/2011,Travis M. Thies,507-662-4001,"110 South Hwy. 86, P.O. Box 1006",Lakefield,MN,56150
5280,PBO,"PBT Communications, Inc.",05/08/1997,L. B. Spearman,803-894-1104,1660 Juniper Springs Rd.,"Gilbert,",SC,29054
5281,LVZ,LaValle Telephone Cooperative,12/10/1997,John Bartz,608-985-7201,108 West Main St.,"LaValle,",WI,53941
5282,CJP,"Chibardun Telephone Cooperative, Inc.",10/09/1996,Rick Vergin,715-458-4583,"401 South First St., P.O. Box 664","Cameron,",WI,54822
5283,LYN,LICT Corporation,09/30/1997,Evelyn Jerden,520-577-9864,401 Theodore Fremd Ave.,"Rye,",NY,10580
5284,CNB,"ComSouth Teleservices, Inc.",07/19/1995,Robert Krueger,478-783-4001,250 Broad St.,"Hawkinsville,",GA,31036
5285,LYN,LICT Corporation,09/30/1997,Evelyn Jerden,520-577-9864,401 Theodore Fremd Ave.,"Rye,",NY,10580
5286,BTD,"BTC Long Distance, Inc.",11/14/1997,Andrea Mathie,912-462-0126,13807 Cleveland Street E,"Nahunta,",GA,31553
5287,IWD,City of Windom,3/4/2005,Jeff Dahna,507-822-2895,443 19th St.,Windom,MN,56101
5288,MIW,"Great Lakes Comnet, Inc.",03/05/1999,Carol M. Thelen,517-664-1600,"1515 Turf Lane, Suite 100",East Lansing,MI,48823
5290,PVN,"PVT Networks, Inc.",1/24/2005,Dale Laman,575-748-1241,4011 W. Main St.,Artesia,NM,88210-9566
5292,AXW,All West World Connect,03/18/1997,Darcy Kunz,435-783-4361,50 West 100 North,"Kamas,",UT,84036-0588
5296,TBD,Twin Lakes Telephone Cooperative Corp.,11/19/1998,Jeff L. Heady,931-268-2151,"201 W. Gore Ave., P.O. Box 67","Gainesboro,",TN,38562
5297,LZA,"Twin Lakes Communications, Inc.",10/27/2017,Jeff Heady,931-405-3365,"201 W. Gore Ave., P.O. Box 67",Gainesboro,TN,38562
5298,OPJ,"Communications Plus, Inc.",12/23/2004,Michael Dawson,304-983-2211,1449 Fairmont Rd.,"Morgantown,",WV,26501
5300,CBZ,Cincinnati Bell Telephone,02/25/1997,---,---,201 E. Fourth St.,"Cincinnati,",OH,45202
5301,OLV,"Colorado Valley Comms. Inc. dba Colorado Valley L. D., Inc.",03/09/1998,Kelly Allison,979-247-8315,4915 S. US Hwy 77,"La Grange,",TX,78945
5302,NHQ,North State Telephone Co. dba North State Communications,03/18/1999,Peggy Pierce,336-886-3840,"111 North Main St., P.O. Box 2326","High Point,",NC,27261
5303,LKL,"Windstream NorthStar, LLC",09/19/2001,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
5304,---,La Compaganie de Telephone de Lambton Inc.,1/30/2008,Raymonde Lapierre,418-486-2627,233 rue du College,"Lambton, Quebec",CANADA,G0M 1H0
5305,---,La Compaganie de Telephone de Lambton Inc.,3/25/2008,Raymonde Lapierre,418-486-2627,233 rue du College,"Lambton, Quebec",CANADA,G0M 1H0
5308,NHU,"North Central Communications, Inc.",03/28/2002,John McClanahan,615-666-2151,1574 Old Gallatin Rd.,"Scottsville,",KY,42164
5310,NDT,Northern Telephone & Data (NTF),05/22/1996,William K. Miller,920-426-9192,300 N. Koeller St.,"Oshkosh,",MI,54902
5312,OCD,Coleman County Telecomms. Ltd. dba Trans Texas Technologies,07/02/2003,Gay Abernathy,325-348-3124,215 N. 2nd St.,Santa Anna,TX,76878-0608
5314,QIT,"FMTC-I35, Inc. dba OmniTel Communications",4/14/1999,Bryan Nelson,641-765-4201,"P.O. Box 229, 105 N. West St.",Truro,IA,50257-0229
5315,IZL,"Citizens Long Distance, Inc.",06/22/1999,"Donald Ceresoli, Jr.",315-324-5911,26 South Main Street,"Hammond,",NY,13646
5316,BFT,"Blackfoot Telephone Cooperative, Inc.",11/17/1998,Kevin Drake,406-541-5242,1221 N. Russell,"Missoula,",MT,59802
5318,IXH,"International Exchange Communications, Inc. dba IECOM",12/07/1995,---,---,---,---,---,---
5320,IPX,"IXNET (subsidiary of Global Crossing, Ltd)",09/20/1995,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
5321,HEC,"Norvado, Inc.",06/30/1998,David J. Carter,715-798-3303,43705 U.S. Hwy. 63,"Cable,",WI,54821
5322,---,TELUS Communications (B.C.) Inc.,12/07/1995,Olena Bilozerska,416-279-8521,1600-200 Consilium Pl.,"Scarborough, Ontario",CANADA,M1H 3J3
5323,CVD,Chariton Valley Communications Corporation,03/16/1996,Kirby Underberg,660-395-9600,"1213 E. Briggs Dr., P.O. Box 67",Macon,MO,63552
5326,FBA,Commonwealth Telephone Company LLC,05/31/1996,Sheri M. Pressler,260-461-3475,6430 Oakbrook Pkwy.,Fort Wayne,IN,46825
5327,SOD,State Telephone Long Distance,03/31/1997,Mark R. Evans,518-731-6128,"46 Reed St., P.O. Box 159",Coxsackie,NY,12051
5329,KIL,Catskills Communications Inc.,03/31/1997,Glen Faulkner,845-586-3311,50 Swart St.,"Margaretville,",NY,12455
5330,TUO,TSC Communications,09/24/1997,Lonnie Pedersen,419-739-2200,P.O. Box 408,"Wapakoneta,",OH,45895
5332,NVS,"Network Recovery Services, Inc.",09/16/1996,Tim Koxlien,---,---,---,---,---
5333,PUG,"Partner Communications Group, LLC",11/19/1996,---,---,---,---,---,---
5334,LGR,"Long Distance Direct, Inc.",09/20/1995,Steven Lampert,---,---,---,---,---
5335,TKP,"First Communications, LLC",02/23/1999,Jorge Rodriguez,630-812-6395,3340 W. Market St.,Akron,OH,44333
5336,LLZ,"All Telecommunications, Inc.",11/15/2001,Michael Chaite,516-567-0720,"70 Roselle St.,  #2C","Mineola,",NY,11501
5337,MKB,"Mark Twain Long Distance, Inc.",04/20/1998,Jim Lyon,660-423-5211,"P.O. Box 68, Hwy. 6 East","Hurdland,",MO,63547
5339,VCV,"Vernon Communications & T.V., Inc.",05/19/1997,Douglas Boone,---,339 First Avenue N.E.,"Sioux Center,",IA,51250-0200
5340,TUO,TSC Communications,09/24/1997,Lonnie Pedersen,419-739-2200,P.O. Box 408,"Wapakoneta,",OH,45895
5341,PJM,"Project Mutual Telephone Cooperative Assn., Inc.",10/28/2009,Rob Thompson,208-434-7185,507 G St.,Rupert,ID,83350
5342,CQV,"CTSI, LLC",1/29/1998,Sheri M. Pressler,260-461-3475,6430 Oakbrook Pkwy.,Fort Wayne,IN,46825
5343,DLJ,DSL Internet Corporation,12/9/2004,Bryant Valencia,305-779-7777,"5000 SW 75th Ave., 3rd Floor","Miami,",FL,33155
5344,BIW,"iTV-3, Inc.",08/14/2001,Tasha Moretto,309-670-0561,602 High Point Lane,"East Peoria,",IL,61611
5346,LRB,"L R Communications, Inc.",10/28/2008,Jimmy Todd,620-897-6200,365 Main St.,Little River,KS,67457
5347,HTU,"Telscape Communications, Inc.",07/14/1999,Salvador Meza,---,---,---,---,---
5349,DXN,"DixieNet Communications, LLC",01/19/1999,Gabriel Grissett,662-993-2151,301 N. Main St.,"Ripley,",MS,38663
5351,MHB,"Miles Communications, Inc. dba Enhanced Telecommunications",02/17/2000,Brian Appleton,812-623-2122,P.O. Box 217,"Batesville,",IN,47006
5352,LCO,"Leaco Rural Telephone Cooperative, Inc.",11/19/1997,Laura Daly,575-433-4330,220 W. Broadway,Hobbs,NM,88240
5353,AUI,"ACS Long Distance, Inc.",09/17/1996,Shari R. Torkelson,907-564-1844,600 Telephone Ave.,"Anchorage,",AK,99503
5354,SKU,"Southwest Arkansas Telephone Co-op., Inc.",09/20/2000,Tina Moore,870-653-8222,2601 East St.,"Texarkana,",AR,71854-8073
5355,RVR,Red River Cellular Telephone Corporation,9/29/2017,Lane Powers,903-293-6347,2601 East Street,Texarkana,AR,71854
5357,CKP,"CL TEL Long Distance, Inc.",10/03/1996,Tom Lovell,641-357-2111,"107 N. 4th St., P.O. Box 66","Clear Lake,",IA,50428
5358,WEA,"Wes-Tex Telecommunications, Inc.",05/28/1999,Darren Patrick,432-756-3393,P.O. Box 280,Stanton,TX,79782
5360,ETO,"ETC Communications, L.L.C.",01/21/1998,Cora Payne,706-276-2271 x5535,"224 Dalton St, P.O. Box 0","Ellijay,",GA,30540
5361,MOY,"MTCO Communications, Inc.",12/07/1998,Brian Kettman,815-795-5167,244 Lincoln St.,Marseilles,IL,61341
5362,NKT,"Norsk Telekom, L.L.C.",10/31/1997,Craig A. Otterness,507-498-3456,"166 West Main Street, P.O. Box 516","Spring Grove,",MN,55974-0516
5363,BED,Bell Canada,04/28/1998,Laurie Bowie,519-850-5818,"100 Dundas Street, Floor 3","London, Ontario",CANADA,N6A 5B6
5364,VLR,"Cavalier Telephone, LLC",03/22/1999,Nichole M. Trimble,804-422-4959,2134 W. Laburnum Ave.,"Richmond,",VA,23227
5365,LEF,"123.Net, Inc.",07/26/1999,James K. Kandler,248-724-2201,"24700 Northwestern Hwy., Suite 700",Southfield,MI,48075
5366,FDW,"Windstream NuVox, Inc.",11/03/1998,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
5374,BTM,"Business Telecom, Inc. (BTI)",07/23/1997,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
5377,GDY,"Global Data Systems, Inc.",12/27/2010,Dustin Melancom,337-291-6549,537 Cajundome Blvd.,Lafayette,LA,70506
5382,EOA,ETCOM,02/24/1999,Christina Call,336-973-6131,"254 Second Street, P.O. Box 220","Ellerbe,",NC,28338
5383,ECE,"Etex Long Distance dba Etex Cellular Co., Inc.",08/17/1996,Leslie Richardson,903-797-1028,P.O. Box 130,"Gilmer,",TX,75644
5384,SAD,"STAR Direct Telecom, Inc.",05/18/1998,---,---,---,---,---,---
5385,LPH,Lennon Telephone Company,12/11/2009,Randy Fletcher,810-621-3301,"3095 S. Sheridan Rd., P.O. Box 329",Lennon,MI,48449
5386,BPH,Comcast Phone LLC,7/17/2012,John Blimmel,303-658-7197,183 Inverness Drive West,Englewood,CO,80111
5389,ETN,"Advanced Tel., LLC",07/09/1998,Bradley Williamson,225-621-4116,913 South Burnside Ave.,Gonzales,LA,70737
5390,FOH,"Foothills Rural Telephone Cooperative Corporation, Inc.",03/29/2000,Susan Fairfield,606-297-3501,1621 Kentucky Route 40 West,"Staffordsville,",KY,41256
5393,ICF,MCImetro Access Transmission Services LLC,08/30/1996,godfrey.chisanga@verizon.com,,,,,
5395,TUE,"Triangle Communication System, Inc.",03/23/1999,Sam J. Cassel,406-394-7807,P.O. Box 1220,"Havre,",MT,59501
5397,VLV,"Valley Connections, L.L.C.",3/28/2006,Virgil Barnard,520-384-2231,P.O. Box 970,Willcox,AZ,85644
5398,---,Globalive Communications Corp.,10/02/1998,Andy Jaikissoon,647-925-5555,"48 Younge St., Suite 1200","Toronto, Ontario",CANADA,M5E 1G6
5399,DVD,"Copper Valley Long Distance, Inc.",5/18/2009,Gary Farrell,907-835-7755,"329 Fairbanks St., P.O. Box 337","Valdez,",AK,99686
5400,REV,"Creative Interconnect Communications, LLC",05/12/2003,Bill Brownlow,650-598-4139,"555 Old County Rd., Suite 100","San Carlos,",CA,94070
5401,IBV,"Sunset Fiber, LLC",9/23/2005,Doug Litten,276-821-6164,333 Fraley Ave.,Duffield,VA,24202
5406,NOZ,"NOS Communications, Inc. dba 011 Communications",04/19/2000,"Raymond A. Perea, Esq.",702-547-8980,"250 Pilot Road, Suite 300","Las Vegas,",NV,89119
5407,UON,"Cunningham Communications, Inc.",2/24/2006,David Cunningham,785-545-3215,220 West Main,Glen Elder,KS,67446
5408,MMK,Metamora Telephone Co.,04/21/2000,Brian Kettman,815-795-5167,244 Lincoln St.,Marseilles,IL,61341
5411,,RESTRICTED-Unavailable for assignment until further notice,,,,,,,
5414,SSD,Sunman Telecommunications Corp. Long Distance,10/27/1999,Chad Miles,812-623-4461,123 Nieman St.,"Sunman,",IN,47041
5415,GMG,"Docomo Pacific, Inc.",11/30/1998,Sean Miles,671-969-4093,"219 S. Marine Dr, #206","Tamuning,",Guam,96931
5418,NFR,New Frontiers Telecommunications,09/29/1999,Clint Wiley,301-791-3800,19776 Longmeadow Rd.,"Hagerstown,",MD,21742
5420,MYD,McDonald County Long Distance Co.,10/08/1999,Aaron Gent,417-223-4313,704 Main St.,"Pineville,",MO,64856
5421,VSC,"e-Tel/Murray, LLC",10/28/1998,Jeannie Englert,270-441-7799,607 Broadway,Paducah,KY,42001
5424,OTT,Oxford County Telephone & Telegraph Company,09/24/1997,Anthony Lievanos,518-694-8716,"41 State St., 10th Floor",Albany,NY,12207
5425,OTT,Oxford County Telephone & Telegraph Company,09/24/1997,Anthony Lievanos,518-694-8716,"41 State St., 10th Floor",Albany,NY,12207
5426,HCO,Highland Communications Corp.,12/20/1996,Mark Patterson,423-346-4000,"950 Main St., Suite D","Wartburg,",TN,37887
5427,SOD,State Telephone Long Distance,09/24/1997,Mark R. Evans,518-731-6128,"46 Reed St., P.O. Box 159",Coxsackie,NY,12051
5428,SAS,"Sandwich Isles Communications, Inc.",02/18/1998,Melanie Yamamoto,808-540-5764,"1003 Bishop St., Suite 2700","Honolulu,",HI,96813
5430,DTB,D-Tel LLC,1/19/2005,Keith Duncan,302-295-4715,1204 West St.,Wilmington,DE,19801
5431,---,Telus Communications Inc.,06/19/1996,Olena Bilozerska,416-279-8521,1600-200 Consilium Pl.,"Scarborough, Ontario",CANADA,M1H 3J3
5432,NGZ,"NGTelecom, Inc.",05/21/2003,---,229-316-1770,102 W. Rogers St.,"Valdosta,",GA,31601
5433,EEA,"Telecom Management, Inc.",06/27/1996,Susan Bouchard,207-774-9500 x234,583 Warren Ave.,"Portland,",ME,04103
5435,WKM,"West Kentucky Rural Tel. Coop. Corp., Inc. dba West Kentucky & Tennessee Telecomms. Coop.",10/23/1998,Karen Jackson-Furman,270-856-9988,100 WK&T Technology Dr.,"Mayfield,",KY,42066
5436,PYR,"Perry-Spencer Communications, Inc.",01/05/2001,James M. Dauby,812-357-2123,11877 E. State Rd. 62,St. Meinrad,IN,47577
5438,IDR,IDT Corporation,04/04/1997,---,---,---,---,---,---
5441,XBU,"Bulloch Cellular, Inc.",3/30/2011,John Scott,912-764-7511,601 Northside Dr. West,Statesboro,GA,30458
5442,SGL,Sigecom LLC,10/09/1998,Steve Stanfill,812-437-0327,6045 Wedeking Ave.,"Evansville,",IN,47715
5443,GBQ,"First Communications, LLC",06/27/1996,Jorge Rodriguez,630-812-6395,3340 W. Market St.,Akron,OH,44333
5447,TZK,"Toncom, Inc.",12/17/1998,Jackie Anderson,815-442-9901,208 Allen St.,"Tonica,",IL,61370
5448,GIT,GTE Telephone Operations,07/20/1995,laura.r.dalton@verizon.com,,,,,
5449,GRB,"GTC Broadband, Inc.",09/15/1999,Cheri Johnson,417-472-6211,"126 Beaver Ave., P.O. Box 200","Granby,",MO,64844
5451,GRB,"GTC Broadband, Inc.",09/15/1999,Cheri Johnson,417-472-6211,"126 Beaver Ave., P.O. Box 200","Granby,",MO,64844
5452,OVL,"Coon Valley Long Distance, Inc.",05/29/1997,Leonard Leis,608-452-3101,"105-107 Central Avenue, P.O. Box 48","Coon Valley,",WI,54623
5453,GPL,Group Long Distance Inc.,02/14/1996,---,---,---,---,---,---
5454,BRE,"Bev-R Enterprises Inc, t/a TouchTone Communications",10/01/1996,Pino Bio,908-688-5532,1030 Salem Road,"Union,",NJ,07083
5455,MDH,Meridian Telecom Corporation,10/01/1996,---,---,---,---,---,---
5458,AFH,"Advanced Telephone Systems, Inc. dba HTC Communications",09/22/1999,Brian Jeffers,724-356-2211,75 Main St.,Hickory,PA,15340
5459,GLZ,"ALEC, Inc.",08/31/1999,Mark I. Hayes,859-721-4224,"250 W. Main St., Suite 1920",Lexington,KY,40507
5465,PAB,Pacific Bell,11/07/1995,Joe Brozynski,414-283-0991,"722 N. Broadway, 12th Floor",Milwaukee,WI,53202
5468,IVN,"INET Interactive Network System, Inc.",11/29/1996,Claude Buchert,---,---,---,---,---
5469,FRF,Fairfield Communications,06/05/2003,Tom Harper,803-581-9164,112 York St.,"Chester,",SC,29706
5471,BOH,"Bulloch Net, Inc. dba Bulloch Long Distance",09/30/1999,John Scott,912-764-7511,601 Northside Dr. West,"Statesboro,",GA,30458
5474,LLX,"Allo Communications, LLC",3/30/2005,Jeff Kuenne,308-633-7822,"610 Broadway, P.O. Box 1123",Imperial,NE,69033
5475,HNV,Southwestern Bell Comm. Svcs. Inc. dba Nevada Bell L.D.,,Joe Brozynski,414-283-0991,722 N. Broadway 04M275C,Milwaukee,WI,53202
5476,GRN,Granite State Long Distance,10/20/1995,Steven Schilling,603-529-6258,600 So. Stark Hwy. ,South Weare,NH,03281
5478,PKF,Wavecom Solutions Corporation,03/08/1996,Robert Mapes,808-546-3092,1177 Bishop St.,"Honolulu,",HI,96813
5479,GLQ,"Glenwood Telecommunications, Inc. dba Glenwood Long Distance",06/22/1999,Lori Meents,402-756-3131,510 W. Gage St.,Blue Hill,NE,68930
5480,RLL,"Springboard Telecom, LLC",12/08/1998,Greg Lunsford,803-326-7170,330 East Black St.,Rock Hill,SC,29731
5481,HTM,HTC Communications Co.,01/28/1998,Ron Mueller,618-939-9277,213 South Main St.,"Waterloo,",IL,62298-0149
5482,HTM,HTC Communications Co.,10/01/1996,Ron Mueller,618-939-9277,213 South Main St.,"Waterloo,",IL,62298-0149
5483,GOP,"Verizon Select Services, Inc.",07/20/1995,laura.r.dalton@verizon.com,,,,,
5485,HTJ,"TelCove, Inc.",04/09/1998,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
5486,VTY,"Vermont Telephone Company, Inc.",09/10/1997,Dawn E. Tucker,802-885-7783,354 River St.,"Springfield,",VT,05156
5490,NMU,Northeast Missouri Rural Telephone Company,10/08/1999,Michele R. Gillespie,660-874-4111,718 South West St.,"Green City,",MO,63545
5491,---,Triton Global Business Services Inc.,03/21/2003,Mark Fietz,403-259-7587,"Suite #8, 4550 - 112 Ave. S E","Calgary, Alberta",CANADA,T2C 2K2
5492,---,Tuckersmith Communications Co-operative Limited,6/25/2007,Linda Middegaal,519-263-2211,40023 Kippen Road,"Kippen, Ontario",CANADA,N0M 2E0
5493,GIO,"Grand River Comms., Inc. dba Grand River Long Distance",08/31/1999,Ron Hinds,660-748-2220,1001 Kentucky St.,"Princeton,",MO,64673
5495,IWL,IWL Communications dba IWL Connect,05/29/1997,---,---,---,---,---,---
5496,SAU,"Windstream NuVox, Inc.",03/24/1998,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
5497,---,Tuckersmith Communications Co-operative Limited,09/30/2001,Linda Middegaal,519-263-2211,40023 Kippen Road,"Kippen, Ontario",CANADA,N0M 2E0
5498,---,Citywest Cable and Telephone Corp.,04/22/2003,Paul Fleming,778-634-0026,2709 Kalum Street,"Terrace, British Columbia",CANADA,V8G 2M4
5499,NMU,Northeast Missouri Rural Telephone Company,10/08/1999,Michele R. Gillespie,660-874-4111,718 South West St.,"Green City,",MO,63545
5500,SAF,"Southwestern Bell Comms. Svcs., Inc. dba Ameritech Long Dist.",,Joe Brozynski,414-283-0991,722 N Broadway 04M275C,Milwaukee,WI,53202
5501,SSU,"Santa Rosa Communications, Inc.",11/19/1998,Dennis Raines,940-886-2217,"P.O. Box 2128, 7110 Hwy. 287 East",Vernon,TX,76385
5503,KGT,Kingdom Telephone Company dba Kingdom Long Distance,09/27/1999,Marla McCowan,573-386-2241,211 South Main St.,"Auxvasse,",MO,65231
5504,KGT,Kingdom Telephone Company dba Kingdom Long Distance,09/27/1999,Marla McCowan,573-386-2241,211 South Main St.,"Auxvasse,",MO,65231
5505,PVZ,Provincial Tel Inc.,10/20/2014,Russell Ochocki,204-920-8000,601-191 Lombard Ave.,"Winnipeg, Manitoba",CANADA,R3B 0X1
5506,AJE,"Aeneas Communications, LLC",10/14/1999,Jonathan V. Harlan,731-554-9200,"300 No. Cumberland St., #200, P.O. Box 277","Jackson,",TN,38301
5507,LHN,"La Harpe Networks Company, Inc.",4/27/2009,Todd Irish,217-659-7721,"P.O. Box 462, 104 N. Center St.",La Harpe,IL,61450
5508,FOC,"Broadwing Communications, LLC",05/04/2000,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
